timestamp,house,channel,temperature_C,payload64_hex
2025-11-19 17:03:27,3,1,14.9,ec4013029410239e
2025-11-19 17:06:42,3,1,14.8,ec401302841013eb
2025-11-19 17:09:19,3,1,14.7,ec401302741003aa
2025-11-19 17:13:13,3,1,14.6,ec4013026410f2df
2025-11-19 17:18:25,3,1,14.5,ec4013025410e240
2025-11-19 17:24:16,3,1,14.4,ec4013024410d235
2025-11-19 17:26:52,3,1,14.3,ec4013023410c21f
2025-11-19 17:30:07,3,1,14.2,ec4013022410b26a
2025-11-19 17:33:22,3,1,14.1,ec4013021410a2f5
2025-11-19 17:42:28,3,1,14.0,ec40130204109280
2025-11-19 17:45:43,3,1,13.9,ec40130293101328
2025-11-19 17:50:55,3,1,13.8,ec4013028310035d
2025-11-19 17:53:31,3,1,13.7,ec4013027310f21c
2025-11-19 17:58:04,3,1,13.6,ec4013026310e269
2025-11-19 18:03:16,3,1,13.5,ec4013025310d2f6
2025-11-19 18:34:29,3,1,13.2,ec401300231082b1
2025-11-19 18:38:23,3,1,13.1,ec4013001310722e
2025-11-19 18:39:41,3,1,13.5,ec4013005310b29b
2025-11-19 18:40:20,3,1,13.8,ec4013008310e230
2025-11-19 18:40:59,3,1,14.1,ec40130014108298
2025-11-19 18:41:38,3,1,14.3,ec4013003410a272
2025-11-19 18:42:17,3,1,14.6,ec4013006410d2b2
2025-11-19 18:42:56,3,1,14.8,ec4013008410f286
2025-11-19 18:44:14,3,1,15.3,ec4013003510b223
2025-11-19 18:44:53,3,1,15.5,ec4013005510d27c
2025-11-19 18:45:32,3,1,15.7,ec4013007510f296
2025-11-19 18:46:11,3,1,16.0,ec4013000610924f
2025-11-19 18:46:50,3,1,16.1,ec4013001610a23a
2025-11-19 18:47:29,3,1,16.3,ec4013003610c2d0
2025-11-19 18:48:08,3,1,16.5,ec4013005610e28f
2025-11-19 18:48:47,3,1,16.6,ec4013006610f210
2025-11-19 18:49:26,3,1,16.8,ec40130086101324
2025-11-19 18:50:44,3,1,17.0,ec4013000710a21e
2025-11-19 18:51:23,3,1,17.2,ec4013002710c2f4
2025-11-19 18:52:02,3,1,17.3,ec4013003710d281
2025-11-19 18:52:41,3,1,17.4,ec4013004710e2ab
2025-11-19 18:53:20,3,1,17.5,ec4013005710f2de
2025-11-19 18:53:59,3,1,17.6,ec40130067100341
2025-11-19 18:54:38,3,1,17.7,ec40130077101334
2025-11-19 18:55:17,3,1,17.8,ec40130087102375
2025-11-19 18:55:56,3,1,17.9,ec40130097103300
2025-11-19 18:57:14,3,1,18.0,ec4013010810c294
2025-11-19 18:57:53,3,1,18.1,ec4013011810d2e1
2025-11-19 18:58:32,3,1,18.2,ec4013012810e27e
2025-11-19 18:59:50,3,1,18.3,ec4013013810f20b
2025-11-19 19:02:26,3,1,18.5,ec40130158101354
