timestamp,raw168_hex,payload64_hex,temperature_C,channel,house,b3_low,b7,R12,source_file
2025-11-19 17:03:27,555555559995a5a6aa6a5aaa9a69a66aaa9a5a6995,ec4013029410239e,14.9,1,3,0x2,0x9E,0x29E,ec40_capturas.csv
2025-11-19 17:03:27,555555559995a5a6aa6a5aaa9a69a66aaa9a5a6995,ec4013029410239e,14.9,1,3,0x2,0x9E,0x29E,ec40_capturas_merged.csv
2025-11-19 17:04:07,555555559995a5a6aa6a5aaa9a69a66aaa9a5a6995,ec4013029410239e,14.9,1,3,0x2,0x9E,0x29E,ec40_capturas.csv
2025-11-19 17:04:07,555555559995a5a6aa6a5aaa9a69a66aaa9a5a6995,ec4013029410239e,14.9,1,3,0x2,0x9E,0x29E,ec40_capturas_merged.csv
2025-11-19 17:06:42,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas.csv
2025-11-19 17:06:42,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas_merged.csv
2025-11-19 17:07:22,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas.csv
2025-11-19 17:07:22,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas_merged.csv
2025-11-19 17:08:01,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas.csv
2025-11-19 17:08:01,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas_merged.csv
2025-11-19 17:08:39,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas.csv
2025-11-19 17:08:39,555555559995a5a6aa6a5aaa9aa9a66aaa6a5a9559,ec401302841013eb,14.8,1,3,0x2,0xEB,0x2EB,ec40_capturas_merged.csv
2025-11-19 17:09:19,555555559995a5a6aa6a5aaa9a56a66aaaaa5a9999,ec401302741003aa,14.7,1,3,0x2,0xAA,0x2AA,ec40_capturas_merged.csv
2025-11-19 17:09:19,555555559995a5a6aa6a5aaa9a56a66aaaaa5a9999,ec401302741003aa,14.7,1,3,0x2,0xAA,0x2AA,ec40_capturas.csv
2025-11-19 17:09:58,555555559995a5a6aa6a5aaa9a56a66aaaaa5a9999,ec401302741003aa,14.7,1,3,0x2,0xAA,0x2AA,ec40_capturas_merged.csv
