house,temp_c,r12_hex,ec40_hex
3,13.7,0x21C,ec4013027310f21c
3,13.7,0x21C,ec4013027310f21c
3,13.7,0x21C,ec4013027310f21c
3,13.7,0x21C,ec4013027310f21c
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.6,0x269,ec4013026310e269
3,13.5,0x2F6,ec4013025310d2f6
3,13.5,0x2F6,ec4013025310d2f6
3,13.5,0x2F6,ec4013025310d2f6
3,13.5,0x2F6,ec4013025310d2f6
3,13.5,0x2F6,ec4013025310d2f6
3,13.5,0x2F6,ec4013025310d2f6
3,13.5,0x2F6,ec4013025310d2f6
3,13.5,0x2F6,ec4013025310d2f6
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.1,0x02E,ec4013001310722e
3,13.1,0x02E,ec4013001310722e
3,13.2,0x0B1,ec401300231082b1
3,13.2,0x0B1,ec401300231082b1
3,13.5,0x09B,ec4013005310b29b
3,13.5,0x09B,ec4013005310b29b
3,13.8,0x030,ec4013008310e230
3,13.8,0x030,ec4013008310e230
3,14.1,0x098,ec40130014108298
3,14.1,0x098,ec40130014108298
3,14.3,0x072,ec4013003410a272
3,14.3,0x072,ec4013003410a272
3,14.6,0x0B2,ec4013006410d2b2
3,14.6,0x0B2,ec4013006410d2b2
3,14.8,0x086,ec4013008410f286
3,14.8,0x086,ec4013008410f286
3,15.3,0x023,ec4013003510b223
3,15.3,0x023,ec4013003510b223
3,15.5,0x07C,ec4013005510d27c
3,15.5,0x07C,ec4013005510d27c
3,15.7,0x096,ec4013007510f296
3,15.7,0x096,ec4013007510f296
3,16.0,0x04F,ec4013000610924f
3,16.0,0x04F,ec4013000610924f
3,16.1,0x03A,ec4013001610a23a
3,16.1,0x03A,ec4013001610a23a
3,16.3,0x0D0,ec4013003610c2d0
3,16.3,0x0D0,ec4013003610c2d0
3,16.5,0x08F,ec4013005610e28f
3,16.5,0x08F,ec4013005610e28f
3,16.6,0x010,ec4013006610f210
3,16.6,0x010,ec4013006610f210
3,16.8,0x024,ec40130086101324
3,16.8,0x024,ec40130086101324
3,17.0,0x01E,ec4013000710a21e
3,17.0,0x01E,ec4013000710a21e
3,17.2,0x0F4,ec4013002710c2f4
3,17.2,0x0F4,ec4013002710c2f4
3,17.3,0x081,ec4013003710d281
3,17.3,0x081,ec4013003710d281
3,17.4,0x0AB,ec4013004710e2ab
3,17.4,0x0AB,ec4013004710e2ab
3,17.5,0x0DE,ec4013005710f2de
3,17.5,0x0DE,ec4013005710f2de
3,17.6,0x041,ec40130067100341
3,17.6,0x041,ec40130067100341
3,17.7,0x034,ec40130077101334
3,17.7,0x034,ec40130077101334
3,17.8,0x075,ec40130087102375
3,17.8,0x075,ec40130087102375
3,17.9,0x000,ec40130097103300
3,17.9,0x000,ec40130097103300
3,17.9,0x000,ec40130097103300
3,17.9,0x000,ec40130097103300
3,18.0,0x194,ec4013010810c294
3,18.0,0x194,ec4013010810c294
3,18.1,0x1E1,ec4013011810d2e1
3,18.1,0x1E1,ec4013011810d2e1
3,18.2,0x17E,ec4013012810e27e
3,18.2,0x17E,ec4013012810e27e
3,18.3,0x10B,ec4013013810f20b
3,18.3,0x10B,ec4013013810f20b
3,18.3,0x10B,ec4013013810f20b
3,18.3,0x10B,ec4013013810f20b
3,18.5,0x154,ec40130158101354
3,18.5,0x154,ec40130158101354
3,18.6,0x1CB,ec401301681023cb
3,18.6,0x1CB,ec401301681023cb
3,18.7,0x1BE,ec401301781033be
3,18.7,0x1BE,ec401301781033be
3,18.7,0x1BE,ec401301781033be
3,18.7,0x1BE,ec401301781033be
3,18.8,0x1FF,ec401301881043ff
3,18.8,0x1FF,ec401301881043ff
3,19.2,0x12F,ec4013012910f22f
3,19.2,0x12F,ec4013012910f22f
3,19.8,0x1AE,ec401301891053ae
3,19.8,0x1AE,ec401301891053ae
3,20.3,0x188,ec40130130208288
3,20.3,0x188,ec40130130208288
3,20.9,0x109,ec4013019020e209
3,20.9,0x109,ec4013019020e209
3,21.4,0x1F3,ec4013014120a2f3
3,21.4,0x1F3,ec4013014120a2f3
3,21.8,0x12D,ec4013018120e22d
3,21.8,0x12D,ec4013018120e22d
3,22.3,0x12A,ec4013013220a22a
3,22.3,0x12A,ec4013013220a22a
3,22.6,0x1EA,ec4013016220d2ea
3,22.6,0x1EA,ec4013016220d2ea
3,23.0,0x1E4,ec401301032082e4
3,23.0,0x1E4,ec401301032082e4
3,23.4,0x151,ec4013014320c251
3,23.4,0x151,ec4013014320c251
3,23.7,0x1CE,ec4013017320f2ce
3,23.7,0x1CE,ec4013017320f2ce
3,24.1,0x127,ec4013011420a227
3,24.1,0x127,ec4013011420a227
3,24.4,0x1E7,ec4013014420d2e7
3,24.4,0x1E7,ec4013014420d2e7
3,24.6,0x10D,ec4013016420f20d
3,24.6,0x10D,ec4013016420f20d
3,24.9,0x14C,ec4013019420234c
3,24.9,0x14C,ec4013019420234c
3,25.2,0x1E9,ec4013012520c2e9
3,25.2,0x1E9,ec4013012520c2e9
3,25.5,0x1C3,ec4013015520f2c3
3,25.5,0x1C3,ec4013015520f2c3
3,25.7,0x129,ec40130175201329
3,25.7,0x129,ec40130175201329
3,25.9,0x11D,ec4013019520331d
3,25.9,0x11D,ec4013019520331d
3,26.1,0x185,ec4013011620c285
3,26.1,0x185,ec4013011620c285
3,26.3,0x16F,ec4013013620e26f
3,26.3,0x16F,ec4013013620e26f
3,26.5,0x130,ec40130156200330
3,26.5,0x130,ec40130156200330
3,26.7,0x1DA,ec401301762023da
3,26.7,0x1DA,ec401301762023da
3,26.9,0x1EE,ec401301962043ee
3,26.9,0x1EE,ec401301962043ee
3,27.1,0x1D4,ec4013011720d2d4
3,27.1,0x1D4,ec4013011720d2d4
3,27.3,0x13E,ec4013013720f23e
3,27.3,0x13E,ec4013013720f23e
3,27.4,0x114,ec40130147200314
3,27.4,0x114,ec40130147200314
3,27.6,0x1FE,ec401301672023fe
3,27.6,0x1FE,ec401301672023fe
3,27.8,0x1CA,ec401301872043ca
3,27.8,0x1CA,ec401301872043ca
3,27.9,0x1BF,ec401301972053bf
3,27.9,0x1BF,ec401301972053bf
3,28.1,0x1E8,ec4013011820e2e8
3,28.1,0x1E8,ec4013011820e2e8
3,28.2,0x177,ec4013012820f277
3,28.2,0x177,ec4013012820f277
3,28.3,0x102,ec40130138200302
3,28.3,0x102,ec40130138200302
3,28.5,0x15D,ec4013015820235d
3,28.5,0x15D,ec4013015820235d
3,28.6,0x1C2,ec401301682033c2
3,28.6,0x1C2,ec401301682033c2
3,28.7,0x1B7,ec401301782043b7
3,28.7,0x1B7,ec401301782043b7
3,28.8,0x1F6,ec401301882053f6
3,28.8,0x1F6,ec401301882053f6
3,28.9,0x183,ec40130198206383
3,28.9,0x183,ec40130198206383
3,29.1,0x1B9,ec4013011920f2b9
3,29.1,0x1B9,ec4013011920f2b9
3,29.2,0x126,ec40130129200326
3,29.2,0x126,ec40130129200326
3,29.3,0x153,ec40130139201353
3,29.3,0x153,ec40130139201353
3,29.4,0x179,ec40130149202379
3,29.4,0x179,ec40130149202379
3,29.4,0x179,ec40130149202379
